MSA,%hpi,rank,%hpi_lag,Employment,Employment_ Lag,Period 
"Gainesville, FL",0.001765616,0,-0.023770447,1.66,-0.76,2011-2015
"Gainesville, GA",0.020894948,0,-0.028707081,3.6,-0.08,2011-2015
"Gary, IN",0.007699154,0,-0.000311257,0.84,-1.12,2011-2015
"Gettysburg, PA",-0.009686958,0,-0.003312958,0.88,-1.08,2011-2015
"Glens Falls, NY",0.000217644,0,0.012116194,0.22,-0.3,2011-2015
"Goldsboro, NC",-0.007613975,0,0.019570931,0.12,-0.46,2011-2015
"Grand Forks, ND-MN",0.053943021,0,0.017378803,1.22,0.42,2011-2015
"Grand Island, NE",0.038586517,0,0.015225936,0.52,0.1,2011-2015
"Grand Junction, CO",0.00353589,0,0.014579148,0.92,0.68,2011-2015
"Grand Rapids-Kentwood, MI",0.037046988,0,-0.036386491,3.16,-1.48,2011-2015
"Grants Pass, OR",0.034234535,0,-0.067073708,1.76,-2.3,2011-2015
"Great Falls, MT",0.020890949,0,0.028838607,0.4,0.66,2011-2015
"Greeley, CO",0.067833506,1,-0.028739201,4.54,0.52,2011-2015
"Green Bay, WI",0.005353134,0,-0.013653394,1.12,-0.46,2011-2015
"Greensboro-High Point, NC",-0.000412731,0,-0.000329057,1.1,-1.32,2011-2015
"Greenville, NC",-0.007740343,0,0.005066581,1.44,0.94,2011-2015
"Greenville-Anderson, SC",0.015165245,0,0.012525809,2.58,-0.32,2011-2015
"Gulfport-Biloxi, MS",-0.007345766,0,0.004359899,0.26,2.08,2011-2015
"Hagerstown-Martinsburg, MD-WV",0.002093742,0,-0.052093991,1.68,-0.9,2011-2015
"Hammond, LA",9.02E-05,0,0.025418333,0.42,1.1,2011-2015
"Hanford-Corcoran, CA",0.027086292,0,-0.069574664,1.46,0.68,2011-2015
"Harrisburg-Carlisle, PA",-0.002661782,0,0.015441372,0.88,-0.36,2011-2015
"Harrisonburg, VA",0.004221155,0,0.001374128,1.24,0.24,2011-2015
"Hartford-East Hartford-Middletown, CT",-0.011346496,0,-0.011641464,0.78,-0.16,2011-2015
"Hattiesburg, MS",0.006914025,0,0.01827701,1.32,0.24,2011-2015
"Hickory-Lenoir-Morganton, NC",-0.00270875,0,0.009040349,0.84,-2.54,2011-2015
"Hilton Head Island-Bluffton, SC",0.004821134,0,-0.020403339,3.06,-1.28,2011-2015
"Homosassa Springs, FL",0.008535803,0,-0.062841407,0.1,-2.24,2011-2015
"Hot Springs, AR",0.009087337,0,0.01474481,0.34,-0.3,2011-2015
"Houma-Thibodaux, LA",0.0135146,0,0.042678271,0.36,1.46,2011-2015
"Houston-The Woodlands-Sugar Land, TX",0.055517852,0,0.021497439,2.92,1.32,2011-2015
"Huntington-Ashland, WV-KY-OH",0.007351755,0,0.019118286,-0.06,-0.52,2011-2015
"Huntsville, AL",-0.003110544,0,0.027144132,1.44,0.84,2011-2015
"Idaho Falls, ID",0.008911592,0,0.013763403,1.62,0.06,2011-2015
"Indianapolis-Carmel-Anderson, IN",0.015157148,0,-0.006430151,2.42,-0.32,2011-2015
"Iowa City, IA",0.020128637,0,0.008303953,1.58,1.26,2011-2015
"Ithaca, NY",0.023984472,0,0.014252234,1.64,1,2011-2015
"Jackson, MI",0.025475316,0,-0.058693295,1.34,-2.46,2011-2015
"Jackson, MS",0.005269407,0,0.010209017,1.18,-0.46,2011-2015
"Jackson, TN",0.000704995,0,0.001052403,1.62,-0.88,2011-2015
"Jacksonville, FL",0.023397818,0,-0.045503669,2.28,-0.86,2011-2015
"Jacksonville, NC",-0.042506278,0,0.030819528,0.38,2.54,2011-2015
"Janesville-Beloit, WI",0.00560395,0,-0.013183319,1.92,-2.42,2011-2015
"Jefferson City, MO",0.008068196,0,0.011097274,-0.08,-0.46,2011-2015
"Johnson City, TN",0.001154154,0,0.023799904,1,-0.5,2011-2015
"Johnstown, PA",-0.005355328,0,0.023816695,-1.12,-0.24,2011-2015
"Jonesboro, AR",0.014280397,0,0.013121069,2.32,0.34,2011-2015
"Joplin, MO",0.01550694,0,0.002538786,0.16,0.54,2011-2015
"Kahului-Wailuku-Lahaina, HI",0.048623387,0,-0.056927525,2.94,-1.04,2011-2015
"Kalamazoo-Portage, MI",0.021542002,0,-0.025264025,1.26,-1.48,2011-2015
"Kankakee, IL",-0.013586428,0,-0.000362586,0.92,0.12,2011-2015
"Kansas City, MO-KS",0.014738742,0,-0.010477666,1.68,-0.18,2011-2015
"Kennewick-Richland, WA",0.021238064,0,0.021136563,0.86,3.42,2011-2015
"Killeen-Temple, TX",0.01307457,0,0.013528282,1.6,1.72,2011-2015
"Kingsport-Bristol, TN-VA",0.003347793,0,0.022027205,0.76,-0.6,2011-2015
"Kingston, NY",-0.015222822,0,-0.016665323,0.58,-0.78,2011-2015
"Knoxville, TN",0.008928756,0,0.01554141,1.54,-0.1,2011-2015
"Kokomo, IN",0.014711488,0,-0.035100923,2.12,-3.32,2011-2015
"La Crosse-Onalaska, WI-MN",0.012372819,0,0.007439489,1.02,0.18,2011-2015
"Lafayette, LA",0.016146954,0,0.026816233,0.16,0.62,2011-2015
"Lafayette-West Lafayette, IN",0.016824852,0,-0.00137215,1.88,-0.04,2011-2015
"Lake Charles, LA",0.029591034,0,0.031470135,3.68,-0.28,2011-2015
"Lake County-Kenosha County, IL-WI",0.00165329,0,-0.035877649,1.64,-0.74,2011-2015
"Lake Havasu City-Kingman, AZ",0.049013671,0,-0.08799098,0.7,-3.48,2011-2015
"Lakeland-Winter Haven, FL",0.031750543,0,-0.066052015,2.12,-1.86,2011-2015
"Lancaster, PA",0.002070047,0,0.009974444,1.58,-0.46,2011-2015
"Lansing-East Lansing, MI",0.014109527,0,-0.054671009,1.1,-0.94,2011-2015
"Laredo, TX",0.01853955,0,0.010726394,2.36,1.7,2011-2015
"Las Cruces, NM",-0.018882515,0,0.004758558,0.34,0.92,2011-2015
"Las Vegas-Henderson-Paradise, NV",0.082225759,1,-0.128588349,3.14,-2.16,2011-2015
"Lawrence, KS",0.002051461,0,-0.000878427,1.46,-0.64,2011-2015
"Lawton, OK",-0.014487041,0,0.026501782,-0.28,1.92,2011-2015
"Lebanon, PA",-0.005806399,0,0.018536756,0.4,0.42,2011-2015
"Lewiston, ID-WA",0.015568733,0,0.028834794,1.14,-1.46,2011-2015
"Lewiston-Auburn, ME",-0.01205264,0,-0.016743699,0.98,-0.32,2011-2015
"Lexington-Fayette, KY",0.010121367,0,0.005223074,2.24,-0.24,2011-2015
"Lima, OH",0.0059887,0,-0.011588921,0.26,-2.06,2011-2015
"Lincoln, NE",0.024969071,0,-0.00222453,1.64,0.36,2011-2015
"Little Rock-North Little Rock-Conway, AR",0.0078029,0,0.010351878,0.9,0.2,2011-2015
"Logan, UT-ID",0.015610548,0,0.024046852,2.08,1.32,2011-2015
"Longview, TX",0.010965215,0,0.036256607,0.36,1.4,2011-2015
"Longview, WA",0.019741612,0,0.000713666,1.12,-0.78,2011-2015
"Los Angeles-Long Beach-Glendale, CA",0.0553264,0,-0.054795374,1.96,-1.22,2011-2015
"Louisville/Jefferson County, KY-IN",0.014448748,0,0.002755312,2.16,-0.44,2011-2015
"Lubbock, TX",0.023852922,0,0.019507835,1.58,0.76,2011-2015
"Lynchburg, VA",0.001784264,0,0.019864129,0.3,-0.66,2011-2015
"Macon-Bibb County, GA",-0.014803677,0,-0.006615555,1.06,-1.16,2011-2015
"Madera, CA",0.051011623,0,-0.109852451,0.96,-0.72,2011-2015
"Madison, WI",0.01243401,0,-0.004180528,1.98,-0.4,2011-2015
"Manchester-Nashua, NH",0.009398323,0,-0.035417513,1.9,-0.44,2011-2015
"Manhattan, KS",0.005717513,0,0.020173784,0.38,1.68,2011-2015
"Mankato, MN",0.013181874,0,-0.011669305,1.62,-0.48,2011-2015
"Mansfield, OH",0.003162349,0,-0.04078046,-0.02,-2.18,2011-2015
"McAllen-Edinburg-Mission, TX",0.015311683,0,0.008019366,2.14,2.26,2011-2015
"Medford, OR",0.040446361,0,-0.07279055,1.9,-1.56,2011-2015
"Memphis, TN-MS-AR",0.009451503,0,-0.009489697,1.58,-1.34,2011-2015
"Merced, CA",0.098965698,1,-0.151856074,1.68,-0.32,2011-2015
"Miami-Miami Beach-Kendall, FL",0.066160662,1,-0.068454074,2.84,-0.78,2011-2015
"Michigan City-La Porte, IN",0.00171835,0,-0.004473431,-0.3,-1.96,2011-2015
"Midland, MI",0.002388826,0,-0.016203178,1.16,0.32,2011-2015
"Midland, TX",0.066152311,1,0.07548164,4.66,2.94,2011-2015
"Milwaukee-Waukesha, WI",0.003054555,0,-0.015856731,1.18,-0.86,2011-2015
"Minneapolis-St. Paul-Bloomington, MN-WI",0.022799471,0,-0.041864398,1.96,-0.76,2011-2015
"Missoula, MT",0.015847628,0,0.01071201,1.94,-0.44,2011-2015
"Mobile, AL",-0.010954305,0,0.018741962,0.46,-0.42,2011-2015
"Modesto, CA",0.094724877,1,-0.141403584,2.36,-1.58,2011-2015
"Monroe, LA",0.016756321,0,0.022213973,0.94,-1,2011-2015
"Monroe, MI",0.022577046,0,-0.061062735,2.38,-3.06,2011-2015
"Montgomery County-Bucks County-Chester County, PA",0.004146377,0,-0.008435215,0.96,-0.48,2011-2015
"Montgomery, AL",-0.009154749,0,0.007128764,0.68,-0.94,2011-2015
"Morgantown, WV",0.016762344,0,0.015800643,1.66,1.9,2011-2015
"Morristown, TN",0.004725937,0,0.006342326,1.44,-2.7,2011-2015
"Mount Vernon-Anacortes, WA",0.014246745,0,-0.003859395,1.66,-0.6,2011-2015
"Muncie, IN",-0.004365967,0,-0.014070556,1.12,-1.54,2011-2015
"Muskegon, MI",0.021978637,0,-0.038268499,1.46,-2.26,2011-2015
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",-0.006130502,0,-0.015303923,2.16,-0.7,2011-2015
"Napa, CA",0.077597395,1,-0.08699197,3.24,-0.5,2011-2015
"Naples-Marco Island, FL",0.077238336,1,-0.109923854,4.32,-2.58,2011-2015
"Nashville-Davidson--Murfreesboro--Franklin, TN",0.038786713,0,0.01221732,3.84,-0.12,2011-2015
"Nassau County-Suffolk County, NY",0.004744731,0,-0.028728025,1.3,-0.22,2011-2015
"New Bern, NC",-0.019207206,0,0.015631337,0.74,-1.34,2011-2015
"New Haven-Milford, CT",-0.012288317,0,-0.024768841,1.28,-0.7,2011-2015
"New Orleans-Metairie, LA",0.021863631,0,0.003901418,1.54,3.34,2011-2015
"New York-Jersey City-White Plains, NY-NJ",0.010985855,0,-0.0199153,2.2,0.12,2011-2015
"Newark, NJ-PA",0.00019087,0,-0.023870561,0.76,-1.1,2011-2015
"Niles, MI",0.008124567,0,-0.014809711,0.64,-1.68,2011-2015
"North Port-Sarasota-Bradenton, FL",0.072879115,1,-0.112468642,4.04,-3.06,2011-2015
"Norwich-New London, CT",-0.017306829,0,-0.024959908,-0.22,-0.9,2011-2015
"Oakland-Berkeley-Livermore, CA",0.08053503,1,-0.079176355,2.76,-1.58,2011-2015
"Ocala, FL",0.007960002,0,-0.059678224,2.02,-2.62,2011-2015
"Ocean City, NJ",-0.012333938,0,-0.025317651,0.68,-1.22,2011-2015
"Odessa, TX",0.061237298,1,0.067312721,3.02,2.58,2011-2015
"Ogden-Clearfield, UT",0.025986961,0,0.023840699,2.96,0.14,2011-2015
"Oklahoma City, OK",0.024040877,0,0.015287401,1.96,0.3,2011-2015
"Olympia-Lacey-Tumwater, WA",0.005070074,0,-0.002840599,2.08,0.16,2011-2015
"Omaha-Council Bluffs, NE-IA",0.016758105,0,-0.002125032,1.44,0.38,2011-2015
"Orlando-Kissimmee-Sanford, FL",0.047559779,0,-0.078954838,3.52,-0.7,2011-2015
"Oshkosh-Neenah, WI",0.001342636,0,-0.001391821,0.46,0.5,2011-2015
"Owensboro, KY",0.023986249,0,0.007167163,0.88,0.18,2011-2015
"Oxnard-Thousand Oaks-Ventura, CA",0.047449055,0,-0.07001253,1.44,-1.2,2011-2015
"Palm Bay-Melbourne-Titusville, FL",0.053223081,0,-0.110468234,0.96,-1.96,2011-2015
"Panama City, FL",0.002913337,0,-0.058367679,1.76,-0.92,2011-2015
"Parkersburg-Vienna, WV",0.02312716,0,0.014803059,-0.56,-0.92,2011-2015
"Pensacola-Ferry Pass-Brent, FL",0.015520729,0,-0.050631091,1.44,-1.5,2011-2015
"Peoria, IL",0.000591231,0,0.01019641,-0.42,-0.12,2011-2015
"Philadelphia, PA",0.003373622,0,0.004404054,0.84,0,2011-2015
"Phoenix-Mesa-Chandler, AZ",0.076291699,1,-0.095025534,2.78,-1.44,2011-2015
"Pine Bluff, AR",-0.00377185,0,0.017943335,-2.02,-1.5,2011-2015
"Pittsburgh, PA",0.02300057,0,0.013890577,0.44,0.06,2011-2015
"Pittsfield, MA",-0.002540846,0,0.002698531,0.6,-0.74,2011-2015
"Pocatello, ID",0.001818201,0,0.021248664,1.18,-1.12,2011-2015
"Port St. Lucie, FL",0.071434805,1,-0.124529395,2.92,-1.56,2011-2015
"Portland-South Portland, ME",0.011976421,0,-0.016637481,1.22,-0.28,2011-2015
"Portland-Vancouver-Hillsboro, OR-WA",0.053224146,0,-0.009864214,2.72,-0.36,2011-2015
"Poughkeepsie-Newburgh-Middletown, NY",-0.019779079,0,-0.035492083,0,0,2011-2015
"Prescott Valley-Prescott, AZ",0.053551242,0,-0.073051982,2.34,-2.56,2011-2015
"Providence-Warwick, RI-MA",0.004972041,0,-0.043843586,1.38,-1.42,2011-2015
"Provo-Orem, UT",0.042582368,0,0.012692577,5.28,0.66,2011-2015
"Pueblo, CO",0.019005539,0,-0.005401779,1.2,0.64,2011-2015
"Punta Gorda, FL",0.054577394,0,-0.110544188,2.28,-1.2,2011-2015
"Racine, WI",-0.005053559,0,-0.024360728,0.78,-1.38,2011-2015
"Raleigh-Cary, NC",0.019186681,0,0.014472832,3.18,1.24,2011-2015
"Rapid City, SD",0.021166143,0,0.018827535,1.3,0.42,2011-2015
"Reading, PA",-0.006313643,0,0.003829672,1.02,-0.44,2011-2015
"Redding, CA",0.037736609,0,-0.081209045,1.7,-2.62,2011-2015
"Reno, NV",0.084069125,1,-0.117749869,2.58,-2.64,2011-2015
"Richmond, VA",0.006314748,0,-0.002605647,2.24,-0.58,2011-2015
"Riverside-San Bernardino-Ontario, CA",0.073209112,1,-0.094640531,3.82,-1.84,2011-2015
"Roanoke, VA",-0.008825995,0,0.015095302,0.74,-0.74,2011-2015
"Rochester, MN",0.020119361,0,-0.013205807,1.7,-0.66,2011-2015
"Rochester, NY",0.008166038,0,0.009649609,0.84,-0.44,2011-2015
"Rockford, IL",-0.024163213,0,-0.013167984,0.98,-1.16,2011-2015
"Rocky Mount, NC",-0.004020983,0,-0.00267587,-1.02,-1.36,2011-2015
"Rome, GA",-0.003895993,0,-0.013030561,1.08,-2.16,2011-2015
"Sacramento-Roseville-Folsom, CA",0.066777656,1,-0.105504453,2.46,-1.86,2011-2015
"Saginaw, MI",0.002763783,0,-0.04160735,0.98,-1.5,2011-2015
"Salem, OR",0.023976344,0,0.001258596,2.16,-0.72,2011-2015
"Salinas, CA",0.068038997,1,-0.124287768,1.8,-0.9,2011-2015
"Salisbury, MD-DE",-0.00821723,0,-0.022197246,1.48,-0.68,2011-2015
"Salt Lake City, UT",0.039085381,0,0.01926887,2.98,0.5,2011-2015
"San Angelo, TX",0.04329271,0,0.039397857,1.64,0.32,2011-2015
"San Antonio-New Braunfels, TX",0.033694622,0,0.025264504,3.08,1.34,2011-2015
"San Diego-Chula Vista-Carlsbad, CA",0.053696635,0,-0.06918135,2.46,-0.92,2011-2015
"San Francisco-San Mateo-Redwood City, CA",0.087568054,1,-0.037343805,3.48,-0.84,2011-2015
"San Jose-Sunnyvale-Santa Clara, CA",0.081652859,1,-0.046772792,3.74,-0.14,2011-2015
"San Luis Obispo-Paso Robles, CA",0.051680187,0,-0.069964377,3.06,-0.88,2011-2015
"San Rafael, CA",0.060645363,1,-0.048076787,2.04,-0.42,2011-2015
"Santa Cruz-Watsonville, CA",0.060632076,1,-0.063872039,2.34,-1.4,2011-2015
"Santa Fe, NM",-0.000107355,0,-0.009840969,0.34,-0.46,2011-2015
"Santa Maria-Santa Barbara, CA",0.050062267,0,-0.091694857,1.92,-0.98,2011-2015
"Santa Rosa-Petaluma, CA",0.073773597,1,-0.085169206,3.3,-1.88,2011-2015
"Savannah, GA",0.006749182,0,-0.009441497,2.78,0.08,2011-2015
"Scranton--Wilkes-Barre, PA",-0.006779752,0,0.018566063,0.64,-0.42,2011-2015
"Seattle-Bellevue-Kent, WA",0.050005542,0,-0.010037525,2.82,0.04,2011-2015
"Sebastian-Vero Beach, FL",0.0505721,0,-0.106433677,2.34,-1.86,2011-2015
"Sebring-Avon Park, FL",0.00844849,0,-0.074932938,1.02,-1.84,2011-2015
"Sheboygan, WI",-0.001589189,0,-0.010601352,1.06,-2.1,2011-2015
"Sherman-Denison, TX",0.043281152,0,0.008317504,1.46,-0.72,2011-2015
"Shreveport-Bossier City, LA",0.008445115,0,0.023761419,-0.72,0.22,2011-2015
"Sierra Vista-Douglas, AZ",-0.022423421,0,-0.016854771,-1.92,-0.12,2011-2015
"Sioux City, IA-NE-SD",0.024004097,0,0.017782166,1.62,0.06,2011-2015
"Sioux Falls, SD",0.025846754,0,0.012534289,2.44,0.98,2011-2015
"South Bend-Mishawaka, IN-MI",0.003569932,0,-0.006319235,0.94,-1.4,2011-2015
"Spartanburg, SC",0.003935341,0,0.00585893,2.42,-0.84,2011-2015
"Spokane-Spokane Valley, WA",0.007520981,0,0.01346868,1.3,-0.38,2011-2015
"Springfield, IL",0.013139752,0,0.011491779,0.32,0,2011-2015
"Springfield, MA",-0.003127957,0,-0.012588195,1.22,-0.42,2011-2015
"Springfield, MO",0.007421704,0,-0.000901812,1.6,-0.08,2011-2015
"Springfield, OH",-0.001914226,0,-0.017728358,-0.32,-0.56,2011-2015
"St. Cloud, MN",0.004865522,0,-0.021939843,1.64,-0.02,2011-2015
"St. George, UT",0.042720152,0,-0.06099852,5.22,-1.3,2011-2015
"St. Joseph, MO-KS",0.00448921,0,-0.000639057,0.64,2.12,2011-2015
"St. Louis, MO-IL",0.005598179,0,-0.010188234,1.2,-0.7,2011-2015
"State College, PA",0.015913813,0,0.025932966,0.76,0.48,2011-2015
"Staunton, VA",-0.005617762,0,0.002051093,1.08,-1.18,2011-2015
"Stockton, CA",0.095319955,1,-0.140397484,3.08,-2.08,2011-2015
"Sumter, SC",-0.008965468,0,0.012088485,1.16,-1.84,2011-2015
"Syracuse, NY",0.001791147,0,0.011709287,0.46,-0.56,2011-2015
"Tacoma-Lakewood, WA",0.023451467,0,-0.017891303,2.06,-0.08,2011-2015
"Tallahassee, FL",0.00217167,0,-0.02598278,0.58,-0.62,2011-2015
"Tampa-St. Petersburg-Clearwater, FL",0.048238552,0,-0.07365565,2.74,-1.72,2011-2015
"Terre Haute, IN",0.010950047,0,0.003482227,-0.06,-0.7,2011-2015
"Texarkana, TX-AR",0.010989342,0,0.020424556,-0.32,0.36,2011-2015
"Toledo, OH",0.002604302,0,-0.030605142,1.6,-2.02,2011-2015
"Topeka, KS",0.005530753,0,0.004051801,0.42,-0.1,2011-2015
"Trenton-Princeton, NJ",-0.007318219,0,-0.02558281,2.02,-0.04,2011-2015
"Tucson, AZ",0.011380683,0,-0.054683429,0.8,-1,2011-2015
"Tulsa, OK",0.014263449,0,0.016628997,1.56,-0.24,2011-2015
"Tuscaloosa, AL",-0.001217693,0,0.013644585,1.78,0,2011-2015
"Twin Falls, ID",0.018424203,0,0.009119545,1.78,-0.3,2011-2015
"Tyler, TX",0.020863876,0,0.013216021,1.42,0.52,2011-2015
"Urban Honolulu, HI",0.042835018,0,0.000271913,1.52,-0.5,2011-2015
"Utica-Rome, NY",0.002830959,0,0.028469665,-0.54,-0.3,2011-2015
"Valdosta, GA",-0.01247068,0,0.012699599,1.1,-0.92,2011-2015
"Vallejo, CA",0.089206699,1,-0.125361873,2.38,-2.18,2011-2015
"Victoria, TX",0.039797998,0,0.039324101,1.92,-0.34,2011-2015
"Vineland-Bridgeton, NJ",-0.02349579,0,-0.010248945,0.14,-1.66,2011-2015
"Virginia Beach-Norfolk-Newport News, VA-NC",-0.004558026,0,-0.003628789,0.96,-0.64,2011-2015
"Visalia, CA",0.045893114,0,-0.091810066,2.12,-0.54,2011-2015
"Waco, TX",0.024343485,0,0.01513091,1.5,0.06,2011-2015
"Walla Walla, WA",0.016247573,0,0.018406412,0.68,0.62,2011-2015
"Warner Robins, GA",-0.008318916,0,0.000698927,0.6,1.3,2011-2015
"Warren-Troy-Farmington Hills, MI",0.057301581,1,-0.080479627,2.82,-2.8,2011-2015
"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.029025175,0,-0.042109102,1.38,0.42,2011-2015
"Waterloo-Cedar Falls, IA",0.01249148,0,0.012177247,0.5,0.2,2011-2015
"Watertown-Fort Drum, NY",0.015509558,0,0.045714072,0.02,0.68,2011-2015
"Wausau-Weston, WI",-0.004198904,0,-1.72E-06,1.4,-1.88,2011-2015
"Weirton-Steubenville, WV-OH",0.014142032,0,-0.000537131,-0.68,-1.86,2011-2015
"Wenatchee, WA",0.020220983,0,0.039646853,2.7,0.14,2011-2015
"West Palm Beach-Boca Raton-Boynton Beach, FL",0.064470441,1,-0.093185736,3.4,-1.96,2011-2015
"Wheeling, WV-OH",0.029160851,0,0.011989032,0.04,-0.4,2011-2015
"Wichita Falls, TX",0.00766271,0,0.01449726,-0.32,-0.86,2011-2015
"Wichita, KS",0.00525806,0,0.013488262,0.8,-0.34,2011-2015
"Williamsport, PA",0.018037085,0,0.030009467,0.32,0.1,2011-2015
"Wilmington, DE-MD-NJ",-0.005799878,0,-0.013831253,1.64,-1.04,2011-2015
"Wilmington, NC",0.001954763,0,-0.000869418,2.26,-0.46,2011-2015
"Winchester, VA-WV",0.024808854,0,-0.067813339,2.22,-0.66,2011-2015
"Winston-Salem, NC",-0.001102927,0,0.001733007,1.54,-1.14,2011-2015
"Worcester, MA-CT",0.007519504,0,-0.0398465,1.38,-0.24,2011-2015
"Yakima, WA",0.004732488,0,0.028906011,1,0.2,2011-2015
"York-Hanover, PA",-0.006769608,0,-0.000527797,0.72,-0.3,2011-2015
"Youngstown-Warren-Boardman, OH-PA",0.004972855,0,-0.014172871,0.26,-1.9,2011-2015
"Yuba City, CA",0.060799371,1,-0.115584737,1.94,-1.46,2011-2015
"Yuma, AZ",0.006984792,0,-0.057135242,1.4,-0.82,2011-2015
